"userNo","taskNo","mouse_click_cood","date","buttonchoice","selected_states","clicked_state","time"
"000","1","230,65","1/22/20","0","","","1123"
"000","1","","1/22/20","0","","","1124"
"000","1","","1/22/20","0","","","1125"
"000","1","","1/22/20","0","","","1126"
"000","1","","1/22/20","0","","","1127"
"000","1","","1/22/20","0","","","1128"
"000","1","","1/22/20","0","","","1129"
"000","1","","1/22/20","0","","","1130"
"000","1","","1/22/20","0","","","1131"
"000","1","","1/22/20","0","","","1132"
"000","1","","1/22/20","0","","","1133"
"000","1","","1/22/20","0","","","1134"
"000","2","745,64","1/22/20","0","","","1135"
"000","2","","1/22/20","0","","","1136"
"000","2","","1/22/20","0","","","1137"
"000","2","","1/22/20","0","","","1138"
"000","2","875,345","1/22/20","0","California","California","1139"
"000","2","","1/22/20","0","California","California","1140"
"000","2","","1/22/20","0","California","California","1141"
"000","2","","1/22/20","0","California","California","1142"
"000","2","","1/22/20","0","California","California","1143"
"000","2","","1/22/20","0","California","California","1144"
"000","2","","11/5/2020","0","California","California","1145"
"000","2","","11/4/2020","0","California","California","1146"
"000","2","","11/2/2020","0","California","California","1147"
"000","2","","11/2/2020","0","California","California","1148"
"000","2","808,708","11/2/2020","0","California","California","1149"
"000","2","","11/2/2020","0","California","California","1150"
"000","2","","11/2/2020","0","California","California","1151"
"000","2","","11/2/2020","0","California","California","1152"
"000","2","","11/2/2020","0","California","California","1153"
"000","2","","11/2/2020","0","California","California","1154"
"000","2","","11/2/2020","0","California","California","1155"
"000","2","","11/14/2020","0","California","California","1156"
"000","2","874,717","11/13/2020","0","California","California","1157"
"000","2","","11/13/2020","0","California","California","1158"
"000","2","","11/13/2020","0","California","California","1159"
"000","2","","11/13/2020","0","California","California","1160"
"000","2","","11/13/2020","0","California","California","1161"
"000","2","","11/13/2020","0","California","California","1162"
"000","2","","11/13/2020","0","California","California","1163"
"000","2","","11/13/2020","0","California","California","1164"
"000","2","","11/13/2020","0","California","California","1165"
"000","2","","11/13/2020","0","California","California","1166"
"000","2","","11/13/2020","0","California","California","1167"
"000","2","","11/13/2020","0","California","California","1168"
"000","2","","11/13/2020","0","California","California","1169"
"000","2","","11/13/2020","0","California","California","1170"
"000","2","","11/13/2020","0","California","California","1171"
"000","2","","11/13/2020","0","California","California","1172"
"000","2","","11/13/2020","0","California","California","1173"
"000","2","","11/13/2020","0","California","California","1174"
"000","2","","11/13/2020","0","California","California","1175"
"000","2","","11/13/2020","0","California","California","1176"
"000","2","","11/13/2020","0","California","California","1177"
"000","2","","11/13/2020","0","California","California","1178"
"000","2","","11/13/2020","0","California","California","1179"
"000","2","","11/13/2020","0","California","California","1180"
"000","2","","11/13/2020","0","California","California","1181"
"000","2","","11/13/2020","0","California","California","1182"
"000","2","","11/13/2020","0","California","California","1183"
"000","2","","11/13/2020","0","California","California","1184"
"000","2","","11/13/2020","0","California","California","1185"
"000","2","","11/13/2020","0","California","California","1186"
"000","2","","11/13/2020","0","California","California","1187"
"000","2","","11/13/2020","0","California","California","1188"
"000","2","","11/13/2020","0","California","California","1189"
"000","2","","11/13/2020","0","California","California","1190"
"000","2","","11/13/2020","0","California","California","1191"
"000","2","","11/13/2020","0","California","California","1192"
"000","3","646,81","11/13/2020","0","California","California","1193"
"000","3","","11/13/2020","0","California","California","1194"
"000","3","1123,436","11/13/2020","0","California,Texas","Texas","1195"
"000","4","659,82","11/13/2020","0","California,Texas","Texas","1196"
"000","4","858,193","11/13/2020","0","California,Texas,Washington","Washington","1197"
"000","5","649,86","11/13/2020","0","California,Texas,Washington","Washington","1198"
"000","5","","11/13/2020","0","California,Texas,Washington","Washington","1199"
"000","5","1304,481","11/13/2020","0","California,Texas,Washington,Florida","Florida","1200"
"000","5","","11/13/2020","0","California,Texas,Washington,Florida","Florida","1201"
"000","6","649,87","11/13/2020","0","California,Texas,Washington,Florida","Florida","1202"
"000","6","545,731","11/13/2020","0","California,Texas,Washington,Florida","Florida","1203"
"000","6","","11/13/2020","0","California,Texas,Washington,Florida","Florida","1204"
"000","6","1344,364","11/13/2020","0","Virginia","Virginia","1205"
"000","7","646,85","11/13/2020","0","Virginia","Virginia","1206"
"000","7","","11/13/2020","0","Virginia","Virginia","1207"
"000","7","1424,289","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1208"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1209"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1210"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1211"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1212"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1213"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1214"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1215"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1216"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1217"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1218"
"000","7","","11/13/2020","0","Virginia,Massachusetts","Massachusetts","1219"
