name,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths01,NewDeaths02,TotalRecovered,NewRecovered,ActiveCases,Critical,TotCases,Deaths,TotalTests,Tests,WHORegion
UnitedStatesOfAmerica,North America,331198130,5032179,15096,162804,130,134,2576668,0,2292707,18296,15194,492,63139605,190640,Americas
Brazil,South America,212710692,2917562,8752,98644,78,80,2047660,0,771258,8318,13716,464,13206188,62085,Americas
India,Asia,1381344997,2025409,6076,41638,33,36,1377384,0,606387,8944,1466,30,22149351,16035,South-EastAsia
Russia,Europe,145940924,871894,2615,14606,11,14,676357,0,180931,2300,5974,100,29716907,203623,Europe
SouthAfrica,Africa,59381566,538184,1614,9604,7,12,387316,0,141264,539,9063,162,3149807,53044,Africa
Mexico,North America,129066160,462690,1388,50517,40,43,308848,0,103325,3987,3585,391,1056915,8189,Americas
Peru,South America,33016319,455409,1366,20424,16,19,310337,0,124648,1426,13793,619,2493429,75521,Americas
Chile,South America,19132514,366671,1100,9889,7,11,340168,0,16614,1358,19165,517,1760615,92022,Americas
Colombia,South America,50936262,357710,1073,11939,9,8,192355,0,153416,1493,7023,234,1801835,35374,Americas
Spain,Europe,46756648,354530,1063,28500,22,21,0,0,,617,7582,610,7064329,151087,Europe
Iran,Asia,84097623,320117,960,17976,14,14,277463,0,24678,4156,3806,214,2612763,31068,EasternMediterranean
UnitedKingdom,Europe,67922029,308134,924,46413,37,41,0,0,,73,4537,683,17515234,257873,Europe
SaudiArabia,Asia,34865919,284226,852,3055,2,6,247089,0,34082,1915,8152,88,3635705,104277,EasternMediterranean
Pakistan,Asia,221295851,281863,845,6035,4,5,256058,0,19770,809,1274,27,2058872,9304,EasternMediterranean
Bangladesh,Asia,164851401,249651,748,3306,2,3,143824,0,102521,,1514,20,1225124,7432,South-EastAsia
Italy,Europe,60452568,249204,747,35187,28,32,201323,0,12694,42,4122,582,7099713,117443,Europe
Turkey,Asia,84428331,237265,711,5798,4,7,220546,0,10921,580,2810,69,5081802,60191,Europe
Argentina,South America,45236884,228195,684,4251,3,7,99852,0,124092,1150,5044,94,794544,17564,Americas
Germany,Europe,83811260,215210,645,9252,7,8,196200,0,9758,236,2568,110,8586648,102452,Europe
France,Europe,65288306,195633,586,30312,24,23,82460,0,82861,384,2996,464,3992206,61147,Europe
Iraq,Asia,40306025,140603,421,5161,4,8,101025,0,34417,517,3488,128,1092741,27111,EasternMediterranean
Philippines,Asia,109722719,119460,358,2150,1,1,66837,0,50473,239,1089,20,1669996,15220,WesternPacific
Indonesia,Asia,273808365,118753,356,5521,4,6,75645,0,37587,,434,20,1633156,5965,South-EastAsia
Canada,North America,37775022,118561,355,8966,7,12,103106,0,6489,2263,3139,237,4319172,114339,Americas
Qatar,Asia,2807805,112092,336,178,2,1,108831,0,3083,77,39922,63,511000,181993,EasternMediterranean
Kazakhstan,Asia,18798667,95942,287,1058,3,3,68871,0,26013,221,5104,56,2163713,115099,Europe
Egypt,Africa,102516525,95006,285,4951,3,2,48898,0,41157,41,927,48,135000,1317,EasternMediterranean
Ecuador,South America,17668824,90537,271,5877,4,8,71318,0,13342,378,5124,333,258582,14635,Americas
Bolivia,South America,11688459,86423,259,3465,2,7,27373,0,55585,71,7394,296,183583,15706,Americas
Sweden,Europe,10105596,81967,245,5766,4,8,0,0,,38,8111,571,863315,85429,Europe
Oman,Asia,5118446,80713,242,492,2,3,70910,0,9311,177,15769,96,309212,60411,EasternMediterranean
Israel,Asia,9197590,79559,238,576,2,6,53427,0,25556,358,8650,63,1872453,203581,Europe
Ukraine,Europe,43705858,76808,230,1819,1,4,42524,0,32465,158,1757,42,1116641,25549,Europe
DominicanRepublic,North America,10858648,76536,229,1246,2,7,40539,0,34751,317,7048,115,281926,25963,Americas
Panama,North America,4321282,71418,214,1574,1,5,45658,0,24186,161,16527,364,240995,55769,Americas
Belgium,Europe,11594739,71158,213,9859,7,7,17661,0,43638,61,6137,850,1767120,152407,Europe
Kuwait,Asia,4276658,70045,210,469,2,5,61610,0,7966,127,16378,110,522200,122105,EasternMediterranean
Belarus,Europe,9449001,68503,205,580,2,2,63756,0,4167,,7250,61,1344303,142269,Europe
UnitedArabEmirates,Asia,9902079,61845,185,354,3,8,55739,0,5752,,6246,36,5262658,531470,EasternMediterranean
Romania,Europe,19224023,57895,173,2566,2,3,28992,0,26337,458,3012,133,1319369,68631,Europe
Netherlands,Europe,17138756,56982,170,6153,4,9,0,0,,37,3325,359,1079860,63007,Europe
Singapore,Asia,5854932,54555,163,27,3,6,48031,0,6497,,9318,5,1474372,251817,WesternPacific
Guatemala,North America,17946899,54339,163,2119,1,1,42070,0,10150,5,3028,118,172712,9624,Americas
Portugal,Europe,10193593,52061,156,1743,1,2,37840,0,12478,42,5107,171,1705474,167308,Europe
Poland,Europe,37842302,49515,148,1774,1,4,35642,0,12099,72,1308,47,2374686,62752,Europe
Nigeria,Africa,206606300,45244,135,930,2,2,32430,0,11884,7,219,5,306894,1485,Africa
Honduras,North America,9919704,45098,135,1423,1,0,6116,0,37559,52,4546,143,109292,11018,Americas
Bahrain,Asia,1706669,42889,128,156,2,4,39945,0,2788,41,25130,91,876700,513691,EasternMediterranean
Japan,Asia,126435859,42263,126,1026,1,2,28877,0,12360,115,334,8,938739,7425,WesternPacific
Armenia,Asia,2963811,39819,119,772,1,0,31556,0,7491,,13435,260,171600,57898,Europe
Ghana,Africa,31133483,39642,118,199,1,5,36384,0,3059,7,1273,6,405817,13035,Africa
Kyrgyzstan,Asia,6534479,38659,115,1447,1,0,30099,0,7113,24,5916,221,267718,40970,Europe
Afghanistan,Asia,39009447,36896,110,1298,1,1,25840,0,9758,31,946,33,90396,2317,EasternMediterranean
Switzerland,Europe,8660952,36108,108,1985,1,5,31600,0,2523,23,4169,229,822764,94997,Europe
Algeria,Africa,43926079,33626,100,1273,1,3,23238,0,9115,57,766,29,,,Africa
Azerbaijan,Asia,10148243,33247,99,479,1,3,29275,0,3493,66,3276,47,766179,75499,Europe
Morocco,Africa,36953359,29644,88,449,1,4,20553,0,8642,31,802,12,1383816,37448,EasternMediterranean
Uzbekistan,Asia,33516027,28315,84,175,3,2,19291,0,8849,228,845,5,1377915,41112,Europe
Serbia,Europe,8733665,27332,81,621,3,2,14047,0,12664,120,3129,71,723137,82799,Europe
Moldova,Europe,4032983,26628,79,828,2,2,18676,0,7124,362,6603,205,128076,31757,Europe
Ireland,Europe,4943200,26372,79,1768,1,2,23364,0,1240,5,5335,358,652917,132084,Europe
Kenya,Africa,53881160,24411,73,399,2,6,10444,0,13568,44,453,7,335318,6223,Africa
Venezuela,South America,28427499,22299,66,195,1,5,12146,0,9958,42,784,7,1567431,55138,Americas
Nepal,Asia,29186486,21750,65,65,1,5,15389,0,6296,,745,2,731977,25079,South-EastAsia
Austria,Europe,9011577,21696,65,719,2,5,19596,0,1381,25,2408,80,937275,104008,Europe
CostaRica,North America,5098730,21070,63,200,3,2,7038,0,13832,103,4132,39,96110,18850,Americas
Ethiopia,Africa,115223736,20900,62,365,2,3,9027,0,11508,185,181,3,468814,4069,Africa
Australia,Australia/Oceania,25528864,19890,59,255,2,5,10941,0,8694,52,779,10,4631419,181419,WesternPacific
ElSalvador,North America,6489514,19126,57,513,2,1,9236,0,9377,509,2947,79,251271,38720,Americas
CzechRepublic,Europe,10711019,17731,53,390,1,3,12320,0,5021,17,1655,36,728670,68030,Europe
Cameroon,Africa,26606188,17718,53,391,1,1,15320,0,2007,30,666,15,149000,5600,Africa
IvoryCoast,Africa,26437950,16447,49,103,2,7,12484,0,3860,,622,4,104584,3956,Africa
SouthKorea,Asia,51273732,14519,43,303,3,8,13543,0,673,18,283,6,1613652,31471,WesternPacific
Denmark,Europe,5794279,14306,42,617,3,2,12787,0,902,2,2469,106,1654512,285542,Europe
Palestine,Asia,5112340,13398,40,92,2,3,6907,0,6399,,2621,18,200280,39176,EasternMediterranean
BosniaandHerzegovina,Europe,3278650,13396,40,384,1,5,7042,0,5970,,4086,117,147021,44842,Europe
Bulgaria,Europe,6942854,13014,39,435,2,7,7374,0,5205,47,1874,63,294087,42358,Europe
Madagascar,Africa,27755708,12526,37,134,3,3,10148,0,2244,88,451,5,46301,1668,Africa
Sudan,Africa,43943536,11780,35,763,2,6,6194,0,4823,,268,17,401,9,EasternMediterranean
NorthMacedonia,Europe,2083365,11399,34,517,2,3,7480,0,3402,3,5471,248,109946,52773,Europe
Senegal,Africa,16783877,10715,32,223,2,5,7101,0,3391,33,638,13,114761,6838,Africa
